X,Y,yaw,velocity,readable
5.4,1.119,0.0,0.761,False
5.4,1.122,0.0,0.76,False
5.4,1.125,0.0,0.76,False
5.4,1.128,0.0,0.759,False
5.4,1.131,0.0,0.758,False
5.4,1.134,0.0,0.757,False
5.4,1.137,0.0,0.757,False
5.4,1.14,0.0,0.756,False
5.4,1.143,0.0,0.756,False
5.4,1.146,0.0,0.755,False
5.4,1.149,0.0,0.754,False
5.4,1.152,0.0,0.754,False
5.4,1.155,0.0,0.753,False
5.4,1.158,0.0,0.753,False
5.4,1.161,0.0,0.753,False
5.4,1.164,0.0,0.752,False
5.4,1.167,0.0,0.752,False
5.4,1.17,0.0,0.752,False
5.4,1.173,0.0,0.751,False
5.4,1.176,0.0,0.751,False
5.4,1.179,0.0,0.751,False
5.4,1.182,0.0,0.751,False
5.4,1.185,0.0,0.75,False
5.4,1.188,0.0,0.75,False
5.4,1.191,0.0,0.75,False
5.4,1.194,0.0,0.75,False
5.4,1.197,0.0,0.75,False
5.4,1.2,0.0,0.75,True
5.4,1.204,0.0,0.75,False
5.4,1.208,0.0,0.75,False
5.4,1.212,0.0,0.75,False
5.4,1.216,0.0,0.749,False
5.4,1.22,0.0,0.749,False
5.4,1.224,0.0,0.748,False
5.4,1.228,0.0,0.748,False
5.4,1.232,0.0,0.747,False
5.4,1.236,0.0,0.746,False
5.4,1.24,0.0,0.745,False
5.4,1.244,0.0,0.744,False
5.4,1.248,0.0,0.743,False
5.4,1.252,0.0,0.742,False
5.4,1.256,0.0,0.741,False
5.4,1.26,0.0,0.74,False
5.4,1.264,0.0,0.738,False
5.4,1.268,0.0,0.737,False
5.4,1.272,0.0,0.735,False
5.4,1.276,0.0,0.733,False
5.4,1.28,0.0,0.732,False
5.4,1.284,0.0,0.73,False
5.4,1.288,0.0,0.728,False
5.4,1.292,0.0,0.726,False
5.4,1.296,0.0,0.724,False
5.4,1.3,0.0,0.721,False
5.4,1.304,0.0,0.719,False
5.4,1.308,0.0,0.717,False
5.4,1.312,0.0,0.714,False
5.4,1.316,0.0,0.712,False
5.4,1.32,0.0,0.709,False
5.4,1.324,0.0,0.706,False
5.4,1.328,0.0,0.704,False
5.4,1.332,0.0,0.701,False
5.4,1.336,0.0,0.698,False
5.4,1.34,0.0,0.695,False
5.4,1.344,0.0,0.692,False
5.4,1.348,0.0,0.688,False
5.4,1.352,0.0,0.685,False
5.4,1.356,0.0,0.682,False
5.4,1.36,0.0,0.678,False
5.4,1.364,0.0,0.675,False
5.4,1.368,0.0,0.671,False
5.4,1.372,0.0,0.668,False
5.4,1.376,0.0,0.664,False
5.4,1.38,0.0,0.66,False
5.4,1.384,0.0,0.656,False
5.4,1.388,0.0,0.652,False
5.4,1.392,0.0,0.648,False
5.4,1.396,0.0,0.644,False
5.4,1.4,0.0,0.64,False
5.4,1.404,0.0,0.636,False
5.4,1.408,0.0,0.632,False
5.4,1.412,0.0,0.627,False
5.4,1.416,0.0,0.623,False
5.4,1.42,0.0,0.619,False
5.4,1.424,0.0,0.614,False
5.4,1.428,0.0,0.609,False
5.4,1.432,0.0,0.605,False
5.4,1.436,0.0,0.6,False
5.4,1.44,0.0,0.595,False
5.4,1.444,0.0,0.591,False
5.4,1.448,0.0,0.586,False
5.4,1.452,0.0,0.581,False
5.4,1.456,0.0,0.576,False
5.4,1.46,0.0,0.571,False
5.4,1.464,0.0,0.566,False
5.4,1.468,0.0,0.561,False
5.4,1.472,0.0,0.556,False
5.4,1.476,0.0,0.55,False
5.4,1.48,0.0,0.545,False
5.4,1.484,0.0,0.54,False
5.4,1.488,0.0,0.535,False
5.4,1.492,0.0,0.529,False
5.4,1.496,0.0,0.524,False
5.4,1.5,0.0,0.519,False
5.4,1.504,0.0,0.513,False
5.4,1.508,0.0,0.508,False
5.4,1.512,0.0,0.502,False
5.4,1.516,0.0,0.496,False
5.4,1.52,0.0,0.491,False
5.4,1.524,0.0,0.485,False
5.4,1.528,0.0,0.48,False
5.4,1.532,0.0,0.474,False
5.4,1.536,0.0,0.468,False
5.4,1.54,0.0,0.463,False
5.4,1.544,0.0,0.457,False
5.4,1.548,0.0,0.451,False
5.4,1.552,0.0,0.445,False
5.4,1.556,0.0,0.439,False
5.4,1.56,0.0,0.434,False
5.4,1.564,0.0,0.428,False
5.4,1.568,0.0,0.422,False
5.4,1.572,0.0,0.416,False
5.4,1.576,0.0,0.41,False
5.4,1.58,0.0,0.404,False
5.4,1.584,0.0,0.399,False
5.4,1.588,0.0,0.393,False
5.4,1.592,0.0,0.387,False
5.4,1.596,0.0,0.381,False
5.4,1.6,0.0,0.375,False
5.4,1.604,0.0,0.369,False
5.4,1.608,0.0,0.363,False
5.4,1.612,0.0,0.357,False
5.4,1.616,0.0,0.351,False
5.4,1.62,0.0,0.346,False
5.4,1.624,0.0,0.34,False
5.4,1.628,0.0,0.334,False
5.4,1.632,0.0,0.328,False
5.4,1.636,0.0,0.322,False
5.4,1.64,0.0,0.316,False
5.4,1.644,0.0,0.311,False
5.4,1.648,0.0,0.305,False
5.4,1.652,0.0,0.299,False
5.4,1.656,0.0,0.293,False
5.4,1.66,0.0,0.287,False
5.4,1.664,0.0,0.282,False
5.4,1.668,0.0,0.276,False
5.4,1.672,0.0,0.27,False
5.4,1.676,0.0,0.265,False
5.4,1.68,0.0,0.259,False
5.4,1.684,0.0,0.254,False
5.4,1.688,0.0,0.248,False
5.4,1.692,0.0,0.242,False
5.4,1.696,0.0,0.237,False
5.4,1.7,0.0,0.231,False
5.4,1.704,0.0,0.226,False
5.4,1.708,0.0,0.221,False
5.4,1.712,0.0,0.215,False
5.4,1.716,0.0,0.21,False
5.4,1.72,0.0,0.205,False
5.4,1.724,0.0,0.2,False
5.4,1.728,0.0,0.194,False
5.4,1.732,0.0,0.189,False
5.4,1.736,0.0,0.184,False
5.4,1.74,0.0,0.179,False
5.4,1.744,0.0,0.174,False
5.4,1.748,0.0,0.169,False
5.4,1.752,0.0,0.164,False
5.4,1.756,0.0,0.159,False
5.4,1.76,0.0,0.155,False
5.4,1.764,0.0,0.15,False
5.4,1.768,0.0,0.145,False
5.4,1.772,0.0,0.141,False
5.4,1.776,0.0,0.136,False
5.4,1.78,0.0,0.131,False
5.4,1.784,0.0,0.127,False
5.4,1.788,0.0,0.123,False
5.4,1.792,0.0,0.118,False
5.4,1.796,0.0,0.114,False
5.4,1.8,0.0,0.11,False
5.4,1.804,0.0,0.106,False
5.4,1.808,0.0,0.102,False
5.4,1.812,0.0,0.098,False
5.4,1.816,0.0,0.094,False
5.4,1.82,0.0,0.09,False
5.4,1.824,0.0,0.086,False
5.4,1.828,0.0,0.082,False
5.4,1.832,0.0,0.079,False
5.4,1.836,0.0,0.075,False
5.4,1.84,0.0,0.072,False
5.4,1.844,0.0,0.068,False
5.4,1.848,0.0,0.065,False
5.4,1.852,0.0,0.062,False
5.4,1.856,0.0,0.058,False
5.4,1.86,0.0,0.055,False
5.4,1.864,0.0,0.052,False
5.4,1.868,0.0,0.049,False
5.4,1.872,0.0,0.046,False
5.4,1.876,0.0,0.044,False
5.4,1.88,0.0,0.041,False
5.4,1.884,0.0,0.038,False
5.4,1.888,0.0,0.036,False
5.4,1.892,0.0,0.033,False
5.4,1.896,0.0,0.031,False
5.4,1.9,0.0,0.029,False
5.4,1.904,0.0,0.026,False
5.4,1.908,0.0,0.024,False
5.4,1.912,0.0,0.022,False
5.4,1.916,0.0,0.02,False
5.4,1.92,0.0,0.018,False
5.4,1.924,0.0,0.017,False
5.4,1.928,0.0,0.015,False
5.4,1.932,0.0,0.013,False
5.4,1.936,0.0,0.012,False
5.4,1.94,0.0,0.01,False
5.4,1.944,0.0,0.009,False
5.4,1.948,0.0,0.008,False
5.4,1.952,0.0,0.007,False
5.4,1.956,0.0,0.006,False
5.4,1.96,0.0,0.005,False
5.4,1.964,0.0,0.004,False
5.4,1.968,0.0,0.003,False
5.4,1.972,0.0,0.002,False
5.4,1.976,0.0,0.002,False
5.4,1.98,0.0,0.001,False
5.4,1.984,0.0,0.001,False
5.4,1.988,0.0,0.0,False
5.4,1.992,0.0,0.0,False
5.4,1.996,0.0,0.0,False
5.4,2.0,0.0,0.0,True
